Kannada,English
ಒಂದು,a
ತ್ಯಜಿಸು,abandon
ಸಾಮರ್ಥ್ಯ,ability
ಸಮರ್ಥ,able
ಗರ್ಭಪಾತ,abortion
ಬಗ್ಗೆ,about
ಮೇಲೆ,above
ವಿದೇಶದಲ್ಲಿ,abroad
ಅನುಪಸ್ಥಿತಿ,absence
ಸಂಪೂರ್ಣ,absolute
ಸಂಪೂರ್ಣವಾಗಿ,absolutely
ಹೀರಿಕೊಳ್ಳುತ್ತವೆ,absorb
ನಿಂದನೆ,abuse
ಶೈಕ್ಷಣಿಕ,academic
ಒಪ್ಪಿಕೊಳ್ಳಿ,accept
ಪ್ರವೇಶ,access
ಅಪಘಾತ,accident
ಜೊತೆಯಲ್ಲಿ,accompany
ಸಾಧಿಸು,accomplish
ಪ್ರಕಾರ,according
ಖಾತೆ,account
ನಿಖರವಾದ,accurate
ಆರೋಪಿಸುತ್ತಾರೆ,accuse
ಸಾಧಿಸು,achieve
ಸಾಧನೆ,achievement
ಆಮ್ಲ,acid
ಅಂಗೀಕರಿಸಿ,acknowledge
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳಿ,acquire
ಅಡ್ಡಲಾಗಿ,across
ಕಾರ್ಯ,act
ಕ್ರಮ,action
ಸಕ್ರಿಯ,active
ಕಾರ್ಯಕರ್ತ,activist
ಚಟುವಟಿಕೆ,activity
ನಟ,actor
ನಟಿ,actress
ನಿಜವಾದ,actual
ವಾಸ್ತವವಾಗಿ,actually
ಜಾಹೀರಾತು,ad
ಅಳವಡಿಸಿಕೊಳ್ಳಿ,adapt
ಸೇರಿಸಿ,add
ಸೇರ್ಪಡೆ,addition
ಹೆಚ್ಚುವರಿ,additional
ವಿಳಾಸ,address
ಸಮರ್ಪಕ,adequate
ಸರಿಹೊಂದಿಸು,adjust
ಹೊಂದಾಣಿಕೆ,adjustment
ಆಡಳಿತ,administration
ನಿರ್ವಾಹಕ,administrator
ಅಚ್ಚುಮೆಚ್ಚು,admire
ಪ್ರವೇಶ,admission
ಒಪ್ಪಿಕೊಳ್ಳುತ್ತೇನೆ,admit
ಹರೆಯದ,adolescent
ಅಳವಡಿಸಿಕೊಳ್ಳಿ,adopt
ವಯಸ್ಕ,adult
ಮುಂಗಡ,advance
ಮುಂದುವರಿದ,advanced
ಅನುಕೂಲ,advantage
ಸಾಹಸ,adventure
ಜಾಹೀರಾತು,advertising
ಸಲಹೆ,advice
ಸಲಹೆ ನೀಡಿ,advise
ಸಲಹೆಗಾರ,adviser
ವಕೀಲ,advocate
ಸಂಬಂಧ,affair
ಪರಿಣಾಮ,affect
ಭರಿಸು,afford
ಹೆದರಿದ,afraid
ಆಫ್ರಿಕನ್,African
ಆಫ್ರಿಕನ್ ಅಮೆರಿಕನ್,African-American
ನಂತರ,after
ಮಧ್ಯಾಹ್ನ,afternoon
ಮತ್ತೆ,again
ವಿರುದ್ಧ,against
ವಯಸ್ಸು,age
ಸಂಸ್ಥೆ,agency
ಕಾರ್ಯಸೂಚಿ,agenda
ಏಜೆಂಟ್,agent
ಆಕ್ರಮಣಕಾರಿ,aggressive
ಹಿಂದೆ,ago
ಒಪ್ಪುತ್ತೇನೆ,agree
ಒಪ್ಪಂದ,agreement
ಕೃಷಿ,agricultural
ಮುಂದೆ,ahead
ನೆರವು,aid
ಸಹಾಯಕ,aide
ಏಡ್ಸ್,AIDS
ಗುರಿ,aim
ಗಾಳಿ,air
ವಿಮಾನ,aircraft
ವಿಮಾನಯಾನ,airline
ವಿಮಾನ ನಿಲ್ದಾಣ,airport
ಆಲ್ಬಮ್,album
ಮದ್ಯ,alcohol
ಜೀವಂತವಾಗಿ,alive
ಎಲ್ಲಾ,all
ಮೈತ್ರಿ,alliance
ಅವಕಾಶ,allow
ಮಿತ್ರ,ally
ಬಹುತೇಕ,almost
ಏಕಾಂಗಿಯಾಗಿ,alone
ಜೊತೆಗೆ,along
ಈಗಾಗಲೇ,already
ಸಹ,also
ಬದಲಾಯಿಸು,alter
ಪರ್ಯಾಯ,alternative
ಆದರೂ,although
ಯಾವಾಗಲೂ,always
ನಾನು,am
ಅದ್ಭುತ,amazing
ಅಮೇರಿಕನ್,American
ನಡುವೆ,among
ಮೊತ್ತ,amount
ಒಂದು,an
ವಿಶ್ಲೇಷಣೆ,analysis
ವಿಶ್ಲೇಷಕ,analyst
ವಿಶ್ಲೇಷಿಸು,analyze
ಪ್ರಾಚೀನ,ancient
ಮತ್ತು,and
ಕೋಪ,anger
ಕೋನ,angle
ಕೋಪಗೊಂಡ,angry
ಪ್ರಾಣಿ,animal
ವಾರ್ಷಿಕೋತ್ಸವ,anniversary
ಘೋಷಿಸಿ,announce
ವಾರ್ಷಿಕ,annual
ಇನ್ನೊಂದು,another
ಉತ್ತರ,answer
ನಿರೀಕ್ಷಿಸಿ,anticipate
ಆತಂಕ,anxiety
ಯಾವುದಾದರು,any
ಯಾರಾದರೂ,anybody
ಇನ್ನು ಮುಂದೆ,anymore
ಯಾರಾದರೂ,anyone
ಏನು,anything
ಹೇಗಾದರೂ,anyway
ಎಲ್ಲಿಯಾದರೂ,anywhere
ಹೊರತುಪಡಿಸಿ,apart
ಅಪಾರ್ಟ್ಮೆಂಟ್,apartment
ಸ್ಪಷ್ಟ,apparent
ಸ್ಪಷ್ಟವಾಗಿ,apparently
ಮನವಿಯನ್ನು,appeal
ಕಾಣಿಸಿಕೊಳ್ಳುತ್ತವೆ,appear
ನೋಟ,appearance
ಸೇಬು,apple
ಅಪ್ಲಿಕೇಶನ್,application
ಅನ್ವಯಿಸು,apply
ನೇಮಕ,appoint
ನೇಮಕಾತಿ,appointment
ಪ್ರಶಂಸಿಸುತ್ತೇವೆ,appreciate
ಅನುಸಂಧಾನ,approach
ಸೂಕ್ತ,appropriate
ಅನುಮೋದನೆ,approval
ಅನುಮೋದಿಸಿ,approve
ಸರಿಸುಮಾರು,approximately
ಅರಬ್,Arab
ವಾಸ್ತುಶಿಲ್ಪಿ,architect
ಇವೆ,are
ಪ್ರದೇಶ,area
ವಾದಿಸುತ್ತಾರೆ,argue
ವಾದ,argument
ಹುಟ್ಟಿಕೊಳ್ಳುತ್ತವೆ,arise
ತೋಳು,arm
ಶಸ್ತ್ರಸಜ್ಜಿತ,armed
ಸೇನೆ,army
ಸುತ್ತಲೂ,around
ವ್ಯವಸ್ಥೆ ಮಾಡಿ,arrange
ವ್ಯವಸ್ಥೆ,arrangement
ಬಂಧನ,arrest
ಆಗಮನ,arrival
ಆಗಮಿಸು,arrive
ಕಲೆ,art
ಲೇಖನ,article
ಕಲಾವಿದ,artist
ಕಲಾತ್ಮಕ,artistic
ನಂತೆ,as
ಏಷ್ಯನ್,Asian
ಪಕ್ಕಕ್ಕೆ,aside
ಕೇಳು,ask
ನಿದ್ದೆ,asleep
ಅಂಶ,aspect
ದಾಳಿ,assault
ಪ್ರತಿಪಾದಿಸು,assert
ಮೌಲ್ಯಮಾಪನ,assess
ಮೌಲ್ಯಮಾಪನ,assessment
ಆಸ್ತಿ,asset
ನಿಯೋಜಿಸಿ,assign
ನಿಯೋಜನೆ,assignment
ಸಹಾಯ,assist
ನೆರವು,assistance
ಸಹಾಯಕ,assistant
ಸಹವರ್ತಿ,associate
ಸಂಘ,association
ಊಹಿಸುತ್ತವೆ,assume
ಊಹೆ,assumption
ಭರವಸೆ,assure
ನಲ್ಲಿ,at
ಕ್ರೀಡಾಪಟು,athlete
ಅಥ್ಲೆಟಿಕ್,athletic
ವಾತಾವರಣ,atmosphere
ಪರಮಾಣು,atom
ಲಗತ್ತಿಸಿ,attach
ದಾಳಿ,attack
ಪ್ರಯತ್ನ,attempt
ಹಾಜರಾಗಲು,attend
ಗಮನ,attention
ವರ್ತನೆ,attitude
ವಕೀಲ,attorney
ಆಕರ್ಷಿಸು,attract
ಆಕರ್ಷಕ,attractive
ಗುಣಲಕ್ಷಣ,attribute
ಪ್ರೇಕ್ಷಕರು,audience
ಲೇಖಕ,author
ಅಧಿಕಾರ,authority
ಆಟೋ,auto
ಲಭ್ಯವಿದೆ,available
ಸರಾಸರಿ,average
ತಪ್ಪಿಸಲು,avoid
ಪ್ರಶಸ್ತಿ,award
ಅರಿವಾಗಿದೆ,aware
ಜಾಗೃತಿ,awareness
ದೂರ,away
ಭೀಕರ,awful
ಮಗು,baby
ಹಿಂದೆ,back
ಹಿನ್ನೆಲೆ,background
ಕೆಟ್ಟದು,bad
ಕೆಟ್ಟದಾಗಿ,badly
ಚೀಲ,bag
ತಯಾರಿಸಲು,bake
ಸಮತೋಲನ,balance
ಚೆಂಡು,ball
ನಿಷೇಧ,ban
ಬ್ಯಾಂಡ್,band
ಬ್ಯಾಂಕ್,bank
ಬಾರ್,bar
ಕೇವಲ,barely
ಬ್ಯಾರೆಲ್,barrel
ತಡೆಗೋಡೆ,barrier
ಬೇಸ್,base
ಬೇಸ್ ಬಾಲ್,baseball
ಮೂಲ,basic
ಮೂಲತಃ,basically
ಆಧಾರ,basis
ಬುಟ್ಟಿ,basket
ಬ್ಯಾಸ್ಕೆಟ್ ಬಾಲ್,basketball
ಬ್ಯಾಟ್,bat
ಸ್ನಾನಗೃಹ,bathroom
ಬ್ಯಾಟರಿ,battery
ಕದನ,battle
ಎಂದು,be
ಬೀಚ್,beach
ಹುರುಳಿ,bean
ಕರಡಿ,bear
ಬೀಟ್,beat
ಸುಂದರ,beautiful
ಸೌಂದರ್ಯ,beauty
ಏಕೆಂದರೆ,because
ಆಗಲು,become
ಹಾಸಿಗೆ,bed
ಮಲಗುವ ಕೋಣೆ,bedroom
ಆಗಿತ್ತು,been
ಬಿಯರ್,beer
ಮೊದಲು,before
ಆರಂಭವಾಯಿತು,began
ಆರಂಭಿಸಲು,begin
ಆರಂಭ,beginning
ನಡವಳಿಕೆ,behavior
ಹಿಂದೆ,behind
ಇರುವುದು,being
ನಂಬಿಕೆ,belief
ನಂಬಿಕೆ,believe
ಗಂಟೆ,bell
ಸೇರಿದ,belong
ಕೆಳಗೆ,below
ಬೆಲ್ಟ್,belt
ಬೆಂಚ್,bench
ಬಾಗಿ,bend
ಕೆಳಗೆ,beneath
ಲಾಭ,benefit
ಪಕ್ಕದಲ್ಲಿ,beside
ಜೊತೆಗೆ,besides
ಅತ್ಯುತ್ತಮ,best
ಬಾಜಿ,bet
ಉತ್ತಮ,better
ನಡುವೆ,between
ಆಚೆಗೆ,beyond
ಬೈಬಲ್,Bible
ದೊಡ್ಡ,big
ಬೈಕ್,bike
ಬಿಲ್,bill
ಶತಕೋಟಿ,billion
ಬಂಧಿಸು,bind
ಜೈವಿಕ,biological
ಹಕ್ಕಿ,bird
ಜನ್ಮ,birth
ಹುಟ್ಟುಹಬ್ಬ,birthday
ಬಿಟ್,bit
ಕಚ್ಚುವುದು,bite
ಕಪ್ಪು,black
ಬ್ಲೇಡ್,blade
ದೂರುವುದು,blame
ಹೊದಿಕೆ,blanket
ಬ್ಲೈಂಡ್,blind
ಬ್ಲಾಕ್,block
ರಕ್ತ,blood
ಊದು,blow
ನೀಲಿ,blue
ಬೋರ್ಡ್,board
ದೋಣಿ,boat
ದೇಹ,body
ಬಾಂಬ್,bomb
ಬಾಂಬ್ ದಾಳಿ,bombing
ಕರಾರುಪತ್ರ,bond
ಮೂಳೆ,bone
ಪುಸ್ತಕ,book
ಬೂಮ್,boom
ಬೂಟ್,boot
ಗಡಿ,border
ಹುಟ್ಟು,born
ಸಾಲ,borrow
ಮೇಲಧಿಕಾರಿ,boss
ಎರಡೂ,both
ತೊಂದರೆ,bother
ಬಾಟಲ್,bottle
ಕೆಳಗೆ,bottom
ಕೊಂಡರು,bought
ಗಡಿ,boundary
ಬೌಲ್,bowl
ಬಾಕ್ಸ್,box
ಹುಡುಗ,boy
ಗೆಳೆಯ,boyfriend
ಮೆದುಳು,brain
ಶಾಖೆ,branch
ಬ್ರಾಂಡ್,brand
ಬ್ರೆಡ್,bread
ವಿರಾಮ,break
ಉಪಹಾರ,breakfast
ಸ್ತನ,breast
ಉಸಿರು,breath
ಉಸಿರಾಡು,breathe
ಇಟ್ಟಿಗೆ,brick
ಸೇತುವೆ,bridge
ಸಂಕ್ಷಿಪ್ತ,brief
ಸಂಕ್ಷಿಪ್ತವಾಗಿ,briefly
ಪ್ರಕಾಶಮಾನವಾದ,bright
ಅದ್ಭುತ,brilliant
ತರಲು,bring
ಬ್ರಿಟಿಷ್,British
ವಿಶಾಲ,broad
ಮುರಿಯಿತು,broke
ಮುರಿದಿದೆ,broken
ಸಹೋದರ,brother
ತಂದರು,brought
ಕಂದು,brown
ಕುಂಚ,brush
ಬಕ್,buck
ಬಜೆಟ್,budget
ನಿರ್ಮಿಸಲು,build
ಕಟ್ಟಡ,building
ಗುಂಡು,bullet
ಗುಂಪನ್ನು,bunch
ಹೊರೆ,burden
ಸುಟ್ಟು,burn
ಸಮಾಧಿ,bury
ಬಸ್,bus
ವ್ಯಾಪಾರ,business
ನಿರತ,busy
ಆದರೆ,but
ಬೆಣ್ಣೆ,butter
ಬಟನ್,button
ಖರೀದಿ,buy
ಖರೀದಿದಾರ,buyer
ಮೂಲಕ,by
ಕ್ಯಾಬಿನ್,cabin
ಕ್ಯಾಬಿನೆಟ್,cabinet
ಕೇಬಲ್,cable
ಕೇಕ್,cake
ಲೆಕ್ಕಾಚಾರ,calculate
ಕರೆ,call
ಬಂದೆ,came
ಕ್ಯಾಮೆರಾ,camera
ಶಿಬಿರ,camp
ಪ್ರಚಾರ,campaign
ಕ್ಯಾಂಪಸ್,campus
ಮಾಡಬಹುದು,can
ಕೆನಡಿಯನ್,Canadian
ಕ್ಯಾನ್ಸರ್,cancer
ಅಭ್ಯರ್ಥಿ,candidate
ಕ್ಯಾಪ್,cap
ಸಾಮರ್ಥ್ಯ,capability
ಸಮರ್ಥ,capable
ಸಾಮರ್ಥ್ಯ,capacity
ಬಂಡವಾಳ,capital
ಕ್ಯಾಪ್ಟನ್,captain
ಸೆರೆಹಿಡಿಯುವಿಕೆ,capture
ಕಾರು,car
ಇಂಗಾಲ,carbon
ಕಾರ್ಡ್,card
ಕಾಳಜಿ,care
ವೃತ್ತಿ,career
ಎಚ್ಚರಿಕೆಯಿಂದ,careful
ಎಚ್ಚರಿಕೆಯಿಂದ,carefully
ವಾಹಕ,carrier
ಸಾಗಿಸು,carry
ಪ್ರಕರಣ,case
ನಗದು,cash
ಎರಕಹೊಯ್ದ,cast
ಬೆಕ್ಕು,cat
ಹಿಡಿಯಿರಿ,catch
ವರ್ಗ,category
ಕ್ಯಾಥೊಲಿಕ್,Catholic
ಹಿಡಿಯಲಾಗಿದೆ,caught
ಕಾರಣ,cause
ಚಾವಣಿ,ceiling
ಆಚರಿಸಿ,celebrate
ಆಚರಣೆ,celebration
ಸೆಲೆಬ್ರಿಟಿ,celebrity
ಕೋಶ,cell
ಸೆಂಟ್,cent
ಕೇಂದ್ರ,center
ಕೇಂದ್ರ,central
ಶತಮಾನ,century
ಸಿಇಒ,CEO
ಕಾರ್ಯಕ್ರಮ,ceremony
ಖಚಿತ,certain
ಖಂಡಿತವಾಗಿಯೂ,certainly
ಸರಪಳಿ,chain
ಕುರ್ಚಿ,chair
ಅಧ್ಯಕ್ಷ,chairman
ಸವಾಲು,challenge
ಚೇಂಬರ್,chamber
ಚಾಂಪಿಯನ್,champion
ಚಾಂಪಿಯನ್ ಶಿಪ್,championship
ಅವಕಾಶ,chance
ಬದಲಾವಣೆ,change
ಬದಲಾಗುತ್ತಿದೆ,changing
ಚಾನೆಲ್,channel
ಅಧ್ಯಾಯ,chapter
ಪಾತ್ರ,character
ಲಕ್ಷಣ,characteristic
ಗುಣಲಕ್ಷಣ,characterize
ಶುಲ್ಕ,charge
ದಾನ,charity
ಚಾರ್ಟ್,chart
ಬೆನ್ನಟ್ಟಿ,chase
ಅಗ್ಗ,cheap
ಪರಿಶೀಲಿಸಿ,check
ಕೆನ್ನೆ,cheek
ಗಿಣ್ಣು,cheese
ಬಾಣಸಿಗ,chef
ರಾಸಾಯನಿಕ,chemical
ಎದೆ,chest
ಮರಿ,chick
ಕೋಳಿ,chicken
ಮುಖ್ಯಸ್ಥ,chief
ಮಗು,child
ಬಾಲ್ಯ,childhood
ಮಕ್ಕಳು,children
ಚೈನೀಸ್,Chinese
ಚಿಪ್,chip
ಚಾಕೊಲೇಟ್,chocolate
ಆಯ್ಕೆ,choice
ಕೊಲೆಸ್ಟ್ರಾಲ್,cholesterol
ಆಯ್ಕೆ,choose
ಸ್ವರಮೇಳ,chord
ಕ್ರಿಶ್ಚಿಯನ್,Christian
ಕ್ರಿಸ್ಮಸ್,Christmas
ಚರ್ಚ್,church
ಸಿಗರೇಟ್,cigarette
ವೃತ್ತ,circle
ಸನ್ನಿವೇಶ,circumstance
ಉಲ್ಲೇಖ,cite
ನಾಗರಿಕ,citizen
ನಗರ,city
ನಾಗರಿಕ,civil
ನಾಗರಿಕ,civilian
ಹಕ್ಕು,claim
ವರ್ಗ,class
ಕ್ಲಾಸಿಕ್,classic
ತರಗತಿಯ,classroom
ಸ್ವಚ್ಛ,clean
ಸ್ಪಷ್ಟ,clear
ಸ್ಪಷ್ಟವಾಗಿ,clearly
ಗ್ರಾಹಕ,client
ಹವಾಮಾನ,climate
ಏರು,climb
ಕ್ಲಿನಿಕ್,clinic
ಕ್ಲಿನಿಕಲ್,clinical
ಗಡಿಯಾರ,clock
ಮುಚ್ಚಿ,close
ಹತ್ತಿರ,closely
ಹತ್ತಿರ,closer
ಬಟ್ಟೆ,clothe
ಬಟ್ಟೆ,clothes
ಬಟ್ಟೆ,clothing
ಮೋಡ,cloud
ಕ್ಲಬ್,club
ಸುಳಿವು,clue
ಕ್ಲಸ್ಟರ್,cluster
ತರಬೇತುದಾರ,coach
ಕಲ್ಲಿದ್ದಲು,coal
ಸಮ್ಮಿಶ್ರ,coalition
ಕರಾವಳಿ,coast
ಕೋಟ್,coat
ಕೋಡ್,code
ಕಾಫಿ,coffee
ಅರಿವಿನ,cognitive
ಶೀತ,cold
ಕುಸಿತ,collapse
ಸಹೋದ್ಯೋಗಿ,colleague
ಸಂಗ್ರಹಿಸಿ,collect
ಸಂಗ್ರಹ,collection
ಸಾಮೂಹಿಕ,collective
ಕಾಲೇಜು,college
ವಸಾಹತುಶಾಹಿ,colonial
ವಸಾಹತು,colony
ಬಣ್ಣ,color
ಅಂಕಣ,column
ಸಂಯೋಜನೆ,combination
ಒಗ್ಗೂಡಿ,combine
ಬನ್ನಿ,come
ಹಾಸ್ಯ,comedy
ಸೌಕರ್ಯ,comfort
ಆರಾಮದಾಯಕ,comfortable
ಆಜ್ಞೆ,command
ಕಮಾಂಡರ್,commander
ಕಾಮೆಂಟ್,comment
ವಾಣಿಜ್ಯ,commercial
ಆಯೋಗ,commission
ಬದ್ಧ,commit
ಬದ್ಧತೆ,commitment
ಸಮಿತಿ,committee
ಸಾಮಾನ್ಯ,common
ಸಂವಹನ,communicate
ಸಂವಹನ,communication
ಸಮುದಾಯ,community
ಕಂಪನಿ,company
ಹೋಲಿಸಿ,compare
ಹೋಲಿಕೆ,comparison
ಸ್ಪರ್ಧಿಸಿ,compete
ಸ್ಪರ್ಧೆ,competition
ಸ್ಪರ್ಧಾತ್ಮಕ,competitive
ಸ್ಪರ್ಧಿ,competitor
ದೂರು,complain
ದೂರು,complaint
ಸಂಪೂರ್ಣ,complete
ಸಂಪೂರ್ಣವಾಗಿ,completely
ಸಂಕೀರ್ಣ,complex
ಜಟಿಲವಾಗಿದೆ,complicated
ಘಟಕ,component
ರಚಿಸಿ,compose
ಸಂಯೋಜನೆ,composition
ಸಮಗ್ರ,comprehensive
ಕಂಪ್ಯೂಟರ್,computer
ಏಕಾಗ್ರತೆ,concentrate
ಏಕಾಗ್ರತೆ,concentration
ಪರಿಕಲ್ಪನೆ,concept
ಕಾಳಜಿ,concern
ಸಂಬಂಧಿಸಿದ,concerned
ಸಂಗೀತ ಕಚೇರಿ,concert
ತೀರ್ಮಾನಿಸಲು,conclude
ತೀರ್ಮಾನ,conclusion
ಕಾಂಕ್ರೀಟ್,concrete
ಸ್ಥಿತಿ,condition
ನಡೆಸುವುದು,conduct
ಸಮ್ಮೇಳನ,conference
ವಿಶ್ವಾಸ,confidence
ಆತ್ಮವಿಶ್ವಾಸ,confident
ದೃೀಕರಿಸಿ,confirm
ಸಂಘರ್ಷ,conflict
ಎದುರಿಸಲು,confront
ಗೊಂದಲ,confusion
ಕಾಂಗ್ರೆಸ್,Congress
ಕಾಂಗ್ರೆಸ್,congressional
ಸಂಪರ್ಕ,connect
ಸಂಪರ್ಕ,connection
ಪ್ರಜ್ಞೆ,consciousness
ಒಮ್ಮತ,consensus
ಪರಿಣಾಮ,consequence
ಸಂಪ್ರದಾಯವಾದಿ,conservative
ಪರಿಗಣಿಸಿ,consider
ಗಣನೀಯ,considerable
ಪರಿಗಣನೆ,consideration
ಒಳಗೊಂಡಿರುತ್ತವೆ,consist
ಸ್ಥಿರ,consistent
ವ್ಯಂಜನ,consonant
ನಿರಂತರ,constant
ನಿರಂತರವಾಗಿ,constantly
ರೂಪಿಸುತ್ತವೆ,constitute
ಸಾಂವಿಧಾನಿಕ,constitutional
ನಿರ್ಮಾಣ,construct
ನಿರ್ಮಾಣ,construction
ಸಲಹೆಗಾರ,consultant
ಸೇವಿಸುತ್ತಾರೆ,consume
ಗ್ರಾಹಕ,consumer
ಬಳಕೆ,consumption
ಸಂಪರ್ಕ,contact
ಹೊಂದಿರುತ್ತವೆ,contain
ಧಾರಕ,container
ಸಮಕಾಲೀನ,contemporary
ವಿಷಯ,content
ಸ್ಪರ್ಧೆ,contest
