Kannada,English
ಗಮನಿಸಿ,observe
ವೀಕ್ಷಕ,observer
ಪಡೆಯಲು,obtain
ಸ್ಪಷ್ಟ,obvious
ಸ್ಪಷ್ಟವಾಗಿ,obviously
ಸಂದರ್ಭ,occasion
ಸಾಂದರ್ಭಿಕವಾಗಿ,occasionally
ಉದ್ಯೋಗ,occupation
ಆಕ್ರಮಿಸು,occupy
ಸಂಭವಿಸುತ್ತವೆ,occur
ಸಾಗರ,ocean
ಬೆಸ,odd
ಆಡ್ಸ್,odds
ನ,of
ಆರಿಸಿ,off
ಅಪರಾಧ,offense
ಆಕ್ರಮಣಕಾರಿ,offensive
ಆಫರ್,offer
ಕಚೇರಿ,office
ಅಧಿಕಾರಿ,officer
ಅಧಿಕೃತ,official
ಆಗಾಗ್ಗೆ,often
ಓಹ್,oh
ತೈಲ,oil
ಸರಿ,ok
ಸರಿ,okay
ಹಳೆಯದು,old
ಒಲಿಂಪಿಕ್,Olympic
ಮೇಲೆ,on
ಒಮ್ಮೆ,once
ಒಂದು,one
ನಡೆಯುತ್ತಿರುವ,ongoing
ಈರುಳ್ಳಿ,onion
ಆನ್ಲೈನ್,online
ಮಾತ್ರ,only
ಮೇಲೆ,onto
ತೆರೆಯಿರಿ,open
ತೆರೆಯುವಿಕೆ,opening
ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತವೆ,operate
ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತಿದೆ,operating
ಕಾರ್ಯಾಚರಣೆ,operation
ಆಯೋಜಕರು,operator
ಅಭಿಪ್ರಾಯ,opinion
ಎದುರಾಳಿ,opponent
ಅವಕಾಶ,opportunity
ವಿರೋಧಿಸು,oppose
ವಿರುದ್ದ,opposite
ವಿರೋಧ,opposition
ಆಯ್ಕೆ,option
ಅಥವಾ,or
ಕಿತ್ತಳೆ,orange
ಆದೇಶ,order
ಸಾಮಾನ್ಯ,ordinary
ಅಂಗ,organ
ಸಾವಯವ,organic
ಸಂಸ್ಥೆ,organization
ಸಂಘಟಿಸಿ,organize
ದೃಷ್ಟಿಕೋನ,orientation
ಮೂಲ,origin
ಮೂಲ,original
ಮೂಲತಃ,originally
ಇತರೆ,other
ಇತರರು,others
ಇಲ್ಲದಿದ್ದರೆ,otherwise
ಮಾಡಬೇಕು,ought
ನಮ್ಮ,our
ನಾವೇ,ourselves
ಹೊರಗೆ,out
ಫಲಿತಾಂಶ,outcome
ಹೊರಗೆ,outside
ಒಲೆ,oven
ಮೇಲೆ,over
ಒಟ್ಟಾರೆ,overall
ಜಯಿಸಲು,overcome
ಕಡೆಗಣಿಸಬೇಡಿ,overlook
ಬದ್ಧನಾಗಿರಬೇಕು,owe
ಸ್ವಂತ,own
ಮಾಲೀಕ,owner
ಆಮ್ಲಜನಕ,oxygen
ಗತಿ,pace
ಪ್ಯಾಕ್,pack
ಪ್ಯಾಕೇಜ್,package
ಪುಟ,page
ನೋವು,pain
ನೋವಿನಿಂದ ಕೂಡಿದೆ,painful
ಬಣ್ಣ,paint
ವರ್ಣಚಿತ್ರಕಾರ,painter
ಚಿತ್ರಕಲೆ,painting
ಜೋಡಿ,pair
ಮಸುಕಾದ,pale
ಪ್ಯಾಲೆಸ್ಟೀನಿಯನ್,Palestinian
ಪಾಮ್,palm
ಪ್ಯಾನ್,pan
ಫಲಕ,panel
ಪ್ಯಾಂಟ್,pant
ಕಾಗದ,paper
ಪ್ಯಾರಾಗ್ರಾಫ್,paragraph
ಪೋಷಕರು,parent
ಉದ್ಯಾನ,park
ಪಾರ್ಕಿಂಗ್,parking
ಭಾಗ,part
ಭಾಗವಹಿಸುವವರು,participant
ಭಾಗವಹಿಸು,participate
ಭಾಗವಹಿಸುವಿಕೆ,participation
ನಿರ್ದಿಷ್ಟ,particular
ನಿರ್ದಿಷ್ಟವಾಗಿ,particularly
ಭಾಗಶಃ,partly
ಪಾಲುದಾರ,partner
ಪಾಲುದಾರಿಕೆ,partnership
ಪಕ್ಷ,party
ಉತ್ತೀರ್ಣ,pass
ಅಂಗೀಕಾರ,passage
ಪ್ರಯಾಣಿಕ,passenger
ಉತ್ಸಾಹ,passion
ಹಿಂದಿನ,past
ತೇಪೆ,patch
ಮಾರ್ಗ,path
ತಾಳ್ಮೆ,patient
ಮಾದರಿ,pattern
ವಿರಾಮ,pause
ಪಾವತಿ,pay
ಪಾವತಿ,payment
ಪಿಸಿ,PC
ಶಾಂತಿ,peace
ಉತ್ತುಂಗ,peak
ಗೆಳೆಯ,peer
ದಂಡ,penalty
ಜನರು,people
ಮೆಣಸು,pepper
ಪ್ರತಿ,per
ಗ್ರಹಿಸು,perceive
ಶೇಕಡಾವಾರು,percentage
ಗ್ರಹಿಕೆ,perception
ಪರಿಪೂರ್ಣ,perfect
ಸಂಪೂರ್ಣವಾಗಿ,perfectly
ನಿರ್ವಹಿಸು,perform
ಕಾರ್ಯಕ್ಷಮತೆ,performance
ಬಹುಶಃ,perhaps
ಅವಧಿ,period
ಶಾಶ್ವತ,permanent
ಅನುಮತಿ,permission
ಅನುಮತಿ,permit
ವ್ಯಕ್ತಿ,person
ವೈಯಕ್ತಿಕ,personal
ವ್ಯಕ್ತಿತ್ವ,personality
ವೈಯಕ್ತಿಕವಾಗಿ,personally
ಸಿಬ್ಬಂದಿ,personnel
ದೃಷ್ಟಿಕೋನ,perspective
ಮನವೊಲಿಸು,persuade
ಸಾಕು,pet
ಹಂತ,phase
ವಿದ್ಯಮಾನ,phenomenon
ತತ್ವಶಾಸ್ತ್ರ,philosophy
ದೂರವಾಣಿ,phone
ಫೋಟೋ,photo
ಛಾಯಾಚಿತ್ರ,photograph
ಛಾಯಾಗ್ರಾಹಕ,photographer
ನುಡಿಗಟ್ಟು,phrase
ದೈಹಿಕ,physical
ದೈಹಿಕವಾಗಿ,physically
ವೈದ್ಯ,physician
ಪಿಯಾನೋ,piano
ಆಯ್ಕೆ,pick
ಚಿತ್ರ,picture
ಪೈ,pie
ತುಂಡು,piece
ರಾಶಿ,pile
ಪೈಲಟ್,pilot
ಪೈನ್,pine
ಗುಲಾಬಿ,pink
ಪೈಪ್,pipe
ಪಿಚ್,pitch
ಸ್ಥಳ,place
ಸರಳ,plain
ಯೋಜನೆ,plan
ವಿಮಾನ,plane
ಗ್ರಹ,planet
ಯೋಜನೆ,planning
ಸಸ್ಯ,plant
ಪ್ಲಾಸ್ಟಿಕ್,plastic
ತಟ್ಟೆ,plate
ವೇದಿಕೆ,platform
ಆಟವಾಡು,play
ಆಟಗಾರ,player
ದಯವಿಟ್ಟು,please
ಸಂತೋಷ,pleasure
ಸಾಕಷ್ಟು,plenty
ಕಥಾವಸ್ತು,plot
ಬಹುವಚನ,plural
ಜೊತೆಗೆ,plus
ಪಾಕೆಟ್,pocket
ಕವಿತೆ,poem
ಕವಿ,poet
ಕಾವ್ಯ,poetry
ಪಾಯಿಂಟ್,point
ಧ್ರುವ,pole
ಪೊಲೀಸ್,police
ನೀತಿ,policy
ರಾಜಕೀಯ,political
ರಾಜಕೀಯವಾಗಿ,politically
ರಾಜಕಾರಣಿ,politician
ರಾಜಕೀಯ,politics
ಮತದಾನ,poll
ಮಾಲಿನ್ಯ,pollution
ಕೊಳ,pool
ಬಡ,poor
ಪಾಪ್,pop
ಜನಪ್ರಿಯ,popular
ಜನಸಂಖ್ಯೆ,populate
ಜನಸಂಖ್ಯೆ,population
ಮುಖಮಂಟಪ,porch
ಬಂದರು,port
ಭಾಗ,portion
ಭಾವಚಿತ್ರ,portrait
ಬಿಂಬಿಸಲು,portray
ಭಂಗಿ,pose
ಸ್ಥಾನ,position
ಧನಾತ್ಮಕ,positive
ಹೊಂದಿವೆ,possess
ಸಾಧ್ಯತೆ,possibility
ಸಾಧ್ಯ,possible
ಬಹುಶಃ,possibly
ಪೋಸ್ಟ್,post
ಮಡಕೆ,pot
ಆಲೂಗಡ್ಡೆ,potato
ಸಂಭಾವ್ಯ,potential
ಸಮರ್ಥವಾಗಿ,potentially
ಪೌಂಡ್,pound
ಸುರಿಯಿರಿ,pour
ಬಡತನ,poverty
ಪುಡಿ,powder
ಶಕ್ತಿ,power
ಶಕ್ತಿಯುತ,powerful
ಪ್ರಾಯೋಗಿಕ,practical
ಅಭ್ಯಾಸ,practice
ಪ್ರಾರ್ಥನೆ,pray
ಪ್ರಾರ್ಥನೆ,prayer
ನಿಖರವಾಗಿ,precisely
ಊಹಿಸಿ,predict
ಆದ್ಯತೆ,prefer
ಆದ್ಯತೆ,preference
ಗರ್ಭಧಾರಣೆ,pregnancy
ಗರ್ಭಿಣಿ,pregnant
ತಯಾರಿ,preparation
ತಯಾರು,prepare
ಪ್ರಿಸ್ಕ್ರಿಪ್ಷನ್,prescription
ಉಪಸ್ಥಿತಿ,presence
ಪ್ರಸ್ತುತ,present
ಪ್ರಸ್ತುತಿ,presentation
ಸಂರಕ್ಷಿಸಿ,preserve
ಅಧ್ಯಕ್ಷ,president
ಅಧ್ಯಕ್ಷೀಯ,presidential
ಒತ್ತಿ,press
ಒತ್ತಡ,pressure
ನಟಿಸು,pretend
ಸುಂದರ,pretty
ತಡೆಯಲು,prevent
ಹಿಂದಿನ,previous
ಇದಕ್ಕೂ ಮುಂಚೆ,previously
ಬೆಲೆ,price
ಹೆಮ್ಮೆಯ,pride
ಪಾದ್ರಿ,priest
ಪ್ರಾಥಮಿಕವಾಗಿ,primarily
ಪ್ರಾಥಮಿಕ,primary
ಅವಿಭಾಜ್ಯ,prime
ಪ್ರಧಾನ,principal
ತತ್ವ,principle
ಮುದ್ರಿಸಿ,print
ಮೊದಲು,prior
ಆದ್ಯತೆ,priority
ಜೈಲು,prison
ಖೈದಿ,prisoner
ಗೌಪ್ಯತೆ,privacy
ಖಾಸಗಿ,private
ಸಂಭವನೀಯ,probable
ಬಹುಶಃ,probably
ಸಮಸ್ಯೆ,problem
ವಿಧಾನ,procedure
ಮುಂದುವರೆಯಲು,proceed
ಪ್ರಕ್ರಿಯೆ,process
ಉತ್ಪಾದಿಸು,produce
ನಿರ್ಮಾಪಕ,producer
ಉತ್ಪನ್ನ,product
ಉತ್ಪಾದನೆ,production
ವೃತ್ತಿ,profession
ವೃತ್ತಿಪರ,professional
ಪ್ರಾಧ್ಯಾಪಕ,professor
ಪ್ರೊಫೈಲ್,profile
ಲಾಭ,profit
ಕಾರ್ಯಕ್ರಮ,program
ಪ್ರಗತಿ,progress
ಯೋಜನೆ,project
ಪ್ರಮುಖ,prominent
ಭರವಸೆ,promise
ಪ್ರಚಾರ,promote
ಪ್ರಾಂಪ್ಟ್,prompt
ಪುರಾವೆ,proof
ಸರಿಯಾದ,proper
ಸರಿಯಾಗಿ,properly
ಆಸ್ತಿ,property
ಅನುಪಾತ,proportion
ಪ್ರಸ್ತಾಪ,proposal
ಪ್ರಸ್ತಾಪಿಸು,propose
ಪ್ರಸ್ತಾಪಿಸಿದರು,proposed
ಪ್ರಾಸಿಕ್ಯೂಟರ್,prosecutor
ನಿರೀಕ್ಷೆ,prospect
ರಕ್ಷಿಸಿ,protect
ರಕ್ಷಣೆ,protection
ಪ್ರೋಟೀನ್,protein
ಪ್ರತಿಭಟನೆ,protest
ಹೆಮ್ಮೆ,proud
ಸಾಬೀತು,prove
ಒದಗಿಸುತ್ತವೆ,provide
ಒದಗಿಸುವವರು,provider
ಪ್ರಾಂತ್ಯ,province
ನಿಬಂಧನೆ,provision
ಮಾನಸಿಕ,psychological
ಮನಶ್ಶಾಸ್ತ್ರಜ್ಞ,psychologist
ಮನೋವಿಜ್ಞಾನ,psychology
ಸಾರ್ವಜನಿಕ,public
ಪ್ರಕಟಣೆ,publication
ಸಾರ್ವಜನಿಕವಾಗಿ,publicly
ಪ್ರಕಟಿಸಿ,publish
ಪ್ರಕಾಶಕರು,publisher
ಎಳೆಯಿರಿ,pull
ಶಿಕ್ಷೆ,punishment
ಖರೀದಿ,purchase
ಶುದ್ಧ,pure
ಉದ್ದೇಶ,purpose
ಮುಂದುವರಿಸು,pursue
ತಳ್ಳುವುದು,push
ಹಾಕಿದರು,put
ಅರ್ಹತೆ,qualify
ಗುಣಮಟ್ಟ,quality
ಕಾಲುಭಾಗ,quart
ಕಾಲು,quarter
ಕಾಲುಭಾಗ,quarterback
ಪ್ರಶ್ನೆ,question
ತ್ವರಿತ,quick
ತ್ವರಿತವಾಗಿ,quickly
ಶಾಂತ,quiet
ಸದ್ದಿಲ್ಲದೆ,quietly
ಬಿಟ್ಟು,quit
ಸಾಕಷ್ಟು,quite
ಉಲ್ಲೇಖ,quote
ಅಂಶ,quotient
ಜನಾಂಗ,race
ಜನಾಂಗೀಯ,racial
ಆಮೂಲಾಗ್ರ,radical
ರೇಡಿಯೋ,radio
ರೈಲು,rail
ಮಳೆ,rain
ಏರಿಸಿ,raise
ಓಡಿತು,ran
ವ್ಯಾಪ್ತಿ,range
ಶ್ರೇಣಿ,rank
ಕ್ಷಿಪ್ರ,rapid
ವೇಗವಾಗಿ,rapidly
ಅಪರೂಪ,rare
ವಿರಳವಾಗಿ,rarely
ದರ,rate
ಬದಲಾಗಿ,rather
ರೇಟಿಂಗ್,rating
ಅನುಪಾತ,ratio
ಕಚ್ಚಾ,raw
ತಲುಪಲು,reach
ಪ್ರತಿಕ್ರಿಯಿಸಿ,react
ಪ್ರತಿಕ್ರಿಯೆ,reaction
ಓದಿ,read
ಓದುಗ,reader
ಓದುವುದು,reading
ಸಿದ್ಧ,ready
ನೈಜ,real
ವಾಸ್ತವ,reality
ಅರಿತುಕೊಳ್ಳಿ,realize
ನಿಜವಾಗಿಯೂ,really
ಕಾರಣ,reason
ಸಮಂಜಸವಾದ,reasonable
ಮರುಸ್ಥಾಪನೆ,recall
ಸ್ವೀಕರಿಸಿ,receive
ಇತ್ತೀಚಿನ,recent
ಇತ್ತೀಚೆಗೆ,recently
ಪಾಕವಿಧಾನ,recipe
ಗುರುತಿಸುವಿಕೆ,recognition
ಗುರುತಿಸಿ,recognize
ಶಿಫಾರಸು ಮಾಡಿ,recommend
ಶಿಫಾರಸು,recommendation
ದಾಖಲೆ,record
ರೆಕಾರ್ಡಿಂಗ್,recording
ಗುಣಮುಖರಾಗಲು,recover
ಚೇತರಿಕೆ,recovery
ನೇಮಕಾತಿ,recruit
ಕೆಂಪು,red
ಕಡಿಮೆ,reduce
ಕಡಿತ,reduction
ಉಲ್ಲೇಖಿಸಿ,refer
ಉಲ್ಲೇಖ,reference
ಪ್ರತಿಬಿಂಬಿಸು,reflect
ಪ್ರತಿಫಲನ,reflection
ಸುಧಾರಣೆ,reform
ನಿರಾಶ್ರಿತ,refugee
ನಿರಾಕರಿಸು,refuse
ಪರಿಗಣಿಸಿ,regard
ಸಂಬಂಧಿಸಿದಂತೆ,regarding
ಲೆಕ್ಕಿಸದೆ,regardless
ಆಡಳಿತ,regime
ಪ್ರದೇಶ,region
ಪ್ರಾದೇಶಿಕ,regional
ನೋಂದಣಿ,register
ನಿಯಮಿತ,regular
ನಿಯಮಿತವಾಗಿ,regularly
ನಿಯಂತ್ರಿಸಿ,regulate
ನಿಯಂತ್ರಣ,regulation
ಬಲಪಡಿಸಲು,reinforce
ತಿರಸ್ಕರಿಸು,reject
ಸಂಬಂಧ,relate
ಸಂಬಂಧ,relation
ಸಂಬಂಧ,relationship
ಸಂಬಂಧಿ,relative
ತುಲನಾತ್ಮಕವಾಗಿ,relatively
ವಿಶ್ರಾಂತಿ,relax
ಬಿಡುಗಡೆ,release
ಸಂಬಂಧಿತ,relevant
ಪರಿಹಾರ,relief
ಧರ್ಮ,religion
ಧಾರ್ಮಿಕ,religious
ಅವಲಂಬಿಸಿವೆ,rely
ಉಳಿಯುತ್ತದೆ,remain
ಉಳಿದ,remaining
ಗಮನಾರ್ಹ,remarkable
ನೆನಪಿಡಿ,remember
ನೆನಪಿನಲ್ಲಿ,remind
ದೂರಸ್ಥ,remote
ತೆಗೆದುಹಾಕಿ,remove
ಪುನರಾವರ್ತಿಸಿ,repeat
ಪದೇ ಪದೇ,repeatedly
ಬದಲಿಸಿ,replace
ಪ್ರತ್ಯುತ್ತರ,reply
ವರದಿ,report
ವರದಿಗಾರ,reporter
ಪ್ರತಿನಿಧಿಸುತ್ತವೆ,represent
ಪ್ರಾತಿನಿಧ್ಯ,representation
ಪ್ರತಿನಿಧಿ,representative
ರಿಪಬ್ಲಿಕನ್,Republican
ಖ್ಯಾತಿ,reputation
ವಿನಂತಿ,request
ಅಗತ್ಯವಿದೆ,require
ಅವಶ್ಯಕತೆ,requirement
ಸಂಶೋಧನೆ,research
ಸಂಶೋಧಕ,researcher
ಹೋಲುತ್ತವೆ,resemble
ಮೀಸಲಾತಿ,reservation
ನಿವಾಸಿ,resident
ವಿರೋಧಿಸಲು,resist
ಪ್ರತಿರೋಧ,resistance
ರೆಸಲ್ಯೂಶನ್,resolution
ಪರಿಹರಿಸಲು,resolve
ರೆಸಾರ್ಟ್,resort
ಸಂಪನ್ಮೂಲ,resource
ಗೌರವ,respect
ಪ್ರತಿಕ್ರಿಯಿಸಿ,respond
ಪ್ರತಿವಾದಿ,respondent
ಪ್ರತಿಕ್ರಿಯೆ,response
ಜವಾಬ್ದಾರಿ,responsibility
ಜವಾಬ್ದಾರಿ,responsible
ಉಳಿದ,rest
ಉಪಹಾರ ಗೃಹ,restaurant
ಪುನಃಸ್ಥಾಪಿಸು,restore
ನಿರ್ಬಂಧ,restriction
ಫಲಿತಾಂಶ,result
ಉಳಿಸಿಕೊಳ್ಳಲು,retain
ನಿವೃತ್ತಿ,retire
ನಿವೃತ್ತಿ,retirement
ಹಿಂತಿರುಗಿ,return
ಬಹಿರಂಗಪಡಿಸು,reveal
ಆದಾಯ,revenue
ಸಮೀಕ್ಷೆ,review
ಕ್ರಾಂತಿ,revolution
ಲಯ,rhythm
ಅಕ್ಕಿ,rice
ಶ್ರೀಮಂತ,rich
ತೊಡೆದುಹಾಕಲು,rid
ಸವಾರಿ,ride
ರೈಫಲ್,rifle
ಸರಿ,right
ರಿಂಗ್,ring
ಏರಿಕೆ,rise
ಅಪಾಯ,risk
ನದಿ,river
ರಸ್ತೆ,road
ಬಂಡೆ,rock
ಪಾತ್ರ,role
ರೋಲ್,roll
ರೋಮ್ಯಾಂಟಿಕ್,romantic
ಛಾವಣಿ,roof
ಕೊಠಡಿ,room
ಬೇರು,root
ಹಗ್ಗ,rope
ಗುಲಾಬಿ,rose
ಒರಟು,rough
ಸ್ಥೂಲವಾಗಿ,roughly
ಸುತ್ತಿನಲ್ಲಿ,round
ಮಾರ್ಗ,route
ದಿನಚರಿ,routine
ಸಾಲು,row
ರಬ್,rub
ನಿಯಮ,rule
ಓಡು,run
ಓಡುತ್ತಿದೆ,running
ಗ್ರಾಮೀಣ,rural
ವಿಪರೀತ,rush
ರಷ್ಯನ್,Russian
ಪವಿತ್ರ,sacred
ದುಃಖ,sad
ಸುರಕ್ಷಿತ,safe
ಸುರಕ್ಷತೆ,safety
ಹೇಳಿದರು,said
ನೌಕಾಯಾನ,sail
ಸಲುವಾಗಿ,sake
ಸಲಾಡ್,salad
ಸಂಬಳ,salary
ಮಾರಾಟ,sale
ಮಾರಾಟ,sales
ಉಪ್ಪು,salt
ಅದೇ,same
ಮಾದರಿ,sample
ಮಂಜೂರಾತಿ,sanction
ಮರಳು,sand
ಕುಳಿತು,sat
ಉಪಗ್ರಹ,satellite
ತೃಪ್ತಿ,satisfaction
ತೃಪ್ತಿ,satisfy
ಸಾಸ್,sauce
ಉಳಿಸಿ,save
ಉಳಿತಾಯ,saving
ಕಂಡಿತು,saw
ಹೇಳು,say
ಪ್ರಮಾಣದ,scale
ಹಗರಣ,scandal
ಹೆದರಿದ,scared
ಸನ್ನಿವೇಶ,scenario
ದೃಶ್ಯ,scene
ವೇಳಾಪಟ್ಟಿ,schedule
ಯೋಜನೆ,scheme
ವಿದ್ವಾಂಸ,scholar
ವಿದ್ಯಾರ್ಥಿವೇತನ,scholarship
ಶಾಲೆ,school
ವಿಜ್ಞಾನ,science
ವೈಜ್ಞಾನಿಕ,scientific
ವಿಜ್ಞಾನಿ,scientist
ವ್ಯಾಪ್ತಿ,scope
ಸ್ಕೋರ್,score
ಕಿರುಚು,scream
ಪರದೆಯ,screen
ಲಿಪಿ,script
ಸಮುದ್ರ,sea
ಹುಡುಕಿ Kannada,search
ತು,season
ಆಸನ,seat
ಎರಡನೇ,second
ರಹಸ್ಯ,secret
ಕಾರ್ಯದರ್ಶಿ,secretary
ವಿಭಾಗ,section
ವಲಯ,sector
ಸುರಕ್ಷಿತ,secure
ಭದ್ರತೆ,security
ನೋಡಿ,see
ಬೀಜ,seed
ಹುಡುಕುವುದು,seek
ತೋರುತ್ತದೆ,seem
ವಿಭಾಗ,segment
ವಶಪಡಿಸಿಕೊಳ್ಳಿ,seize
ಆಯ್ಕೆ ಮಾಡಿ,select
ಆಯ್ಕೆ,selection
ಸ್ವಯಂ,self
ಮಾರಾಟ,sell
ಸೆನೆಟ್,Senate
ಸೆನೆಟರ್,senator
ಕಳುಹಿಸು,send
ಹಿರಿಯ,senior
ಅರ್ಥ,sense
ಸೂಕ್ಷ್ಮ,sensitive
ಕಳುಹಿಸಲಾಗಿದೆ,sent
ವಾಕ್ಯ,sentence
ಪ್ರತ್ಯೇಕ,separate
ಅನುಕ್ರಮ,sequence
ಸರಣಿ,series
ಗಂಭೀರ,serious
ಗಂಭೀರವಾಗಿ,seriously
ಸೇವೆ,serve
ಸೇವೆ,service
ಅಧಿವೇಶನ,session
ಸೆಟ್,set
ಸೆಟ್ಟಿಂಗ್,setting
ಇತ್ಯರ್ಥ,settle
ವಸಾಹತು,settlement
